债券ID,申万一级行业,申万二级行业,债券全称,债券简称,发行主体
031490530.IB,采掘,煤炭开采,中煤集团山西华昱能源有限公司2014年度第一期非公开定向债务融资工具,14华昱能源PPN001,中煤集团山西华昱能源有限公司
1282084.IB,轻工制造,包装印刷,珠海中富实业股份有限公司2012年度第一期中期票据,12珠中富MTN1,珠海中富实业股份有限公司
088006.IB,轻工制造,0,2008年广州造纸股份有限公司公司债券,08广纸股份债,广州造纸股份有限公司
1180137.IB,有色金属,0,2011年河南万基铝业股份有限公司公司债券,11万基债,河南万基铝业股份有限公司
122729.SH,综合,综合Ⅱ,2012年华盛江泉集团有限公司公司债券,12江泉债,华盛江泉集团有限公司
1180120.IB,采掘,煤炭开采,2011年龙口煤电有限公司公司债券,11龙煤电债,龙口煤电有限公司
1180005.IB,采掘,煤炭开采,2011年山东省微山湖矿业集团有限公司公司债券,11微矿集团债,山东省微山湖矿业集团有限公司
124256.SH,综合,综合Ⅱ,2013年苏泊尔集团有限公司公司债券,13苏泊尔,苏泊尔集团有限公司
124309.SH,公用事业,燃气,2013年信阳市弘昌管道燃气工程有限责任公司公司债券,13弘燃气,信阳市弘昌管道燃气工程有限责任公司
136511.SH,有色金属,黄金,云南黄金矿业集团股份有限公司2016年公司债券(第一期),16云金01,云南黄金矿业集团股份有限公司
1380055.IB,综合,综合Ⅱ,2013年万正投资集团有限公司公司债券,13万正债,万正投资集团有限公司
122535.SH,综合,综合Ⅱ,2012年江苏飞达控股集团有限公司公司债券,12苏飞达,江苏飞达控股集团有限公司
1380047.IB,电子,0,2013年晶科能源有限公司公司债券,13晶科债,晶科能源有限公司
1080147.IB,综合,综合Ⅱ,2010年山东丰源煤电股份有限公司公司债券,10丰源煤电债,山东丰源集团股份有限公司
1280379.IB,交通运输,高速公路,2012年山西汽车运输集团有限公司公司债券,12晋汽运债,山西汽车运输集团有限公司
078046.IB,化工,石油化工,2007年永城煤电集团有限责任公司公司债券,07永煤债,永煤集团股份有限公司
1580188.IB,综合,综合Ⅱ,2015年阳城县皇城相府(集团)实业有限公司公司债券,15皇城相府债,阳城县皇城相府(集团)实业有限公司
124287.SH,钢铁,钢铁Ⅱ,2013年新疆金特钢铁股份有限公司公司债券,金特暂停,新疆金特钢铁股份有限公司
088043.IB,有色金属,0,2008年湖南有色金属控股集团公司债券,08湘有色债,湖南有色金属控股集团有限公司
031490090.IB,采掘,煤炭开采,太原煤炭气化(集团)有限责任公司2014年度第一期非公开定向债务融资工具,14太煤PPN001,太原煤炭气化(集团)有限责任公司
078088.IB,有色金属,0,2007年湖南晟通科技有限公司公司债券,07晟通债,晟通科技集团有限公司
031578004.IB,化工,化学制品,江苏索普(集团)有限公司2015年度第一期非公开定向债务融资工具,15索普PPN001,江苏索普(集团)有限公司
124102.SH,交通运输,航空运输,2012年云南祥鹏航空有限责任公司公司债券,12滇祥航,云南祥鹏航空有限责任公司
101658030.IB,电气设备,0,太重煤机有限公司2016年度第一期中期票据,16太重煤机MTN001,太重煤机有限公司
124216.SH,采掘,煤炭开采,2012年山东新查庄矿业有限责任公司公司债券,新查暂停,山东新查庄矿业有限责任公司
1282137.IB,综合,综合Ⅱ,贵州赤天化集团有限责任公司2012年度第一期中期票据,12赤天化MTN1,贵州赤天化集团有限责任公司
1282133.IB,电子,0,英利能源(中国)有限公司2012年度第一期中期票据(5年期),12英利MTN2,英利能源(中国)有限公司
1180078.IB,采掘,煤炭开采,2011年内蒙古霍林河煤业集团有限责任公司公司债券(品种1),11霍煤债01,内蒙古霍林河煤业集团有限责任公司
1282126.IB,化工,化学制品,翔鹭石化股份有限公司2012年度第一期中期票据,12翔鹭MTN1,翔鹭石化股份有限公司
031490743.IB,钢铁,钢铁Ⅱ,安阳钢铁集团有限责任公司2014年度第二期非公开定向债务融资工具,14安钢集PPN002,安阳钢铁集团有限责任公司
1182292.IB,电子,0,彩虹集团公司2011年度第一期中期票据,11彩虹MTN1,彩虹集团公司
031490291.IB,交通运输,港口,广西北部湾国际港务集团有限公司2014年度第一期非公开定向债务融资工具,14北部湾PPN001,广西北部湾国际港务集团有限公司
031490144.IB,交通运输,机场,海航机场控股(集团)有限公司2014年度第一期非公开定向债务融资工具,14海航机场PPN001,海航机场控股(集团)有限公司
031490649.IB,综合,综合Ⅱ,河南神火集团有限公司2014年度第一期非公开定向债务融资工具,14神火PPN001,河南神火集团有限公司
011598121.IB,交通运输,0,湖南省高速公路建设开发总公司2015年度第二期超短期融资券,15湘高速SCP002,湖南省高速公路建设开发总公司
041568007.IB,采掘,石油开采,华油天然气股份有限公司2015年度第一期短期融资券,15华油天CP001,华油天然气股份有限公司
101466005.IB,采掘,煤炭开采,淮北矿业股份有限公司2014年度第一期中期票据,14淮北矿业MTN001,淮北矿业股份有限公司
031491113.IB,综合,综合Ⅱ,内蒙古鄂尔多斯羊绒集团有限责任公司2014年度第一期非公开定向债务融资工具,14鄂绒PPN001,内蒙古鄂尔多斯羊绒集团有限责任公司
031563064.IB,化工,化学制品,天脊煤化工集团股份有限公司2015年度第一期非公开定向债务融资工具,15天脊煤化PPN001,天脊煤化工集团股份有限公司
1180135.IB,采掘,煤炭开采,2011年义马煤业集团股份有限公司公司债券,11义煤债,义马煤业集团股份有限公司
031491091.IB,采掘,其他采掘,云南锡业集团(控股)有限责任公司2014年度第一期非公开定向债务融资工具,14云南锡业PPN001,云南锡业集团(控股)有限责任公司
011699251.IB,有色金属,0,云南冶金集团股份有限公司2016年度第一期超短期融资券,16云冶SCP001,云南冶金集团股份有限公司
031281001.IB,综合,综合Ⅱ,中国平煤神马能源化工集团有限责任公司2012年度第一期非公开定向发行债务融资工具,12平煤化PPN001,中国平煤神马能源化工集团有限责任公司
011698332.IB,钢铁,钢铁Ⅱ,包头钢铁(集团)有限责任公司2016年度第六期超短期融资券,16包钢SCP006,包头钢铁(集团)有限责任公司
011699234.IB,采掘,煤炭开采,保利能源控股有限公司2016年度第二期超短期融资券,16保利能源SCP002,保利能源控股有限公司
011699260.IB,采掘,煤炭开采,河南能源化工集团有限公司2016年度第一期超短期融资券,16豫能源SCP001,河南能源化工集团有限公司
101458018.IB,机械设备,通用机械,湖北省黄石市2014年度第一期区域集优中期票据,14黄石集优MTN001,黄石哈特贝尔精密锻造有限公司
011598150.IB,综合,综合Ⅱ,冀中能源邯郸矿业集团有限公司2015年度第一期超短期融资券,15邯郸矿业SCP001,冀中能源邯郸矿业集团有限公司
122133.SH,化工,化学制品,柳州化工股份有限公司2011年公司债券,11柳化债,柳州化工股份有限公司
011699358.IB,化工,化学原料,内蒙古博源控股集团有限公司2016年度第一期超短期融资券,16博源SCP001,内蒙古博源控股集团有限公司
031491062.IB,商业贸易,专业零售,内蒙古高新控股有限公司2014年度第一期非公开定向债务融资工具,14蒙高新PPN001,内蒙古高新控股有限公司
122541.SH,综合,综合Ⅱ,2012年宁夏上陵实业(集团)有限公司公司债券,12宁上陵,宁夏上陵实业(集团)有限公司
031491096.IB,机械设备,专用设备,三一集团有限公司2014年度第二期非公开定向债务融资工具,14三一PPN002,三一集团有限公司
011699230.IB,商业贸易,专业零售,山西煤炭进出口集团有限公司2016年度第一期超短期融资券,16山煤SCP001,山西煤炭进出口集团有限公司
031490447.IB,机械设备,通用机械,沈阳机床(集团)有限责任公司2014年度第二期非公开定向债务融资工具,14沈机床PPN002,沈阳机床(集团)有限责任公司
031390443.IB,采掘,煤炭开采,四川省煤炭产业集团有限责任公司2013年度第一期非公开定向债务融资工具,13川煤炭PPN001,四川省煤炭产业集团有限责任公司
101564044.IB,机械设备,专用设备,太原重型机械集团有限公司2015年度第一期中期票据,15太重MTN001,太原重型机械集团有限公司
031563048.IB,采掘,煤炭开采,铁法煤业(集团)有限责任公司2015年度第一期非公开定向债务融资工具,15铁法煤业PPN001,铁法煤业(集团)有限责任公司
112199.SZ,房地产,房地产开发,铁岭新城投资控股股份有限公司2014年公司债券,14铁岭债,铁岭新城投资控股股份有限公司
011699539.IB,采掘,其他采掘,西部矿业集团有限公司2016年度第一期超短期融资券,16西矿集SCP001,西部矿业集团有限公司
041563017.IB,综合,综合Ⅱ,新疆生产建设兵团第六师国有资产经营有限责任公司2015年度第一期短期融资券,15兵团六师CP001,新疆生产建设兵团第六师国有资产经营有限责任公司
031463001.IB,采掘,煤炭开采,新汶矿业集团有限责任公司2014年度第一期非公开定向债务融资工具,14新矿PPN001,新汶矿业集团有限责任公司
011698042.IB,机械设备,专用设备,徐工集团工程机械有限公司2016年度第三期超短期融资券,16徐工SCP003,徐工集团工程机械有限公司
101464005.IB,电气设备,电气自动化设备,远东控股集团有限公司2014年度第一期中期票据,14远东MTN001,远东控股集团有限公司
101376001.IB,医药生物,生物制品,云南沃森生物技术股份有限公司2013年度第一期中期票据(3年期),13沃森MTN001(3年期),云南沃森生物技术股份有限公司
011699226.IB,采掘,煤炭开采,郑州煤炭工业(集团)有限责任公司2016年度第一期超短期融资券,16郑煤SCP001,郑州煤炭工业(集团)有限责任公司
011598149.IB,食品饮料,食品加工,中国盐业总公司2015年度第一期超短期融资券,15中盐业SCP001,中国盐业总公司
031390427.IB,建筑装饰,基础建设,中国冶金科工集团有限公司2013年度第一期非公开定向债务融资工具,13中冶集PPN001,中国冶金科工集团有限公司
Q16090702.IB,0,0,安徽淮海实业发展集团有限公司2016年度第一期中期票据,16皖淮海MTN001,安徽淮海实业发展集团有限公司
101452030.IB,钢铁,钢铁Ⅱ,宝钢集团新疆八一钢铁有限公司2014年度第二期中期票据,14八钢MTN002,宝钢集团新疆八一钢铁有限公司
011698166.IB,采掘,煤炭开采,北京昊华能源股份有限公司2016年度第二期超短期融资券,16京昊华SCP002,北京昊华能源股份有限公司
112236.SZ,钢铁,钢铁Ⅱ,本钢板材股份有限公司2015年公司债券(第一期),15本钢01,本钢板材股份有限公司
1180087.IB,采掘,煤炭开采,2011年彬县煤炭有限责任公司企业债券,11彬煤债,彬县煤炭有限责任公司
031559008.IB,采掘,煤炭开采,大同煤业股份有限公司2015年度第一期非公开定向债务融资工具,15大同煤业PPN001,大同煤业股份有限公司
1282293.IB,综合,综合Ⅱ,福建省轻纺(控股)有限责任公司2012年度第一期中期票据,12闽轻纺MTN1,福建省轻纺(控股)有限责任公司
031390324.IB,综合,综合Ⅱ,甘肃省国有资产投资集团有限公司2013年度第一期非公开定向债务融资工具,13甘国投PPN001,甘肃省国有资产投资集团有限公司
041551070.IB,机械设备,专用设备,广东明阳风电产业集团有限公司2015年度第一期短期融资券,15明阳风电CP001,广东明阳风电产业集团有限公司
011698184.IB,商业贸易,贸易,广东省广新控股集团有限公司2016年度第七期超短期融资券,16广新控股SCP007,广东省广新控股集团有限公司
041551061.IB,交通运输,铁路运输,广梅汕铁路有限责任公司2015年度第一期短期融资券,15汕铁CP001,广梅汕铁路有限责任公司
031562050.IB,公用事业,电力,广西正润发展集团有限公司2015年度第一期非公开定向债务融资工具,15正润PPN001,广西正润发展集团有限公司
1080026.IB,综合,综合Ⅱ,2010年广州市建设投资发展有限公司公司债券,10广州建投债,广州市建设投资发展有限公司
041651015.IB,采掘,煤炭开采,贵州水城矿业股份有限公司2016年度第一期短期融资券,16贵水矿CP001,贵州水城矿业股份有限公司
124008.SH,房地产,房地产开发,2012年国奥投资发展有限公司公司债券,PR国奥停,国奥投资发展有限公司
031558037.IB,机械设备,专用设备,国电科技环保集团股份有限公司2015年度第一期非公开定向债务融资工具,15国电环保PPN001,国电科技环保集团股份有限公司
041563014.IB,传媒,文化传媒,国广环球传媒控股有限公司2015年度第一期短期融资券,15国广CP001,国广环球传媒控股有限公司
031490726.IB,公用事业,电力,中电投贵州金元集团股份有限公司2014年度第六期非公开定向债务融资工具,14金元PPN006,国家电投集团贵州金元股份有限公司
031390384.IB,采掘,煤炭开采,国投新集能源股份有限公司2013年度第一期非公开定向债务融资工具,13国投新集PPN001,国投新集能源股份有限公司
101464002.IB,综合,综合Ⅱ,哈尔滨投资集团有限责任公司2014年度第一期中期票据,14哈投集MTN001,哈尔滨投资集团有限责任公司
041651002.IB,公用事业,电力,汉江水利水电(集团)有限责任公司2016年度第一期短期融资券,16汉江水电CP001,汉江水利水电(集团)有限责任公司
101359014.IB,有色金属,0,河南豫光金铅集团有限责任公司2013年度第一期中期票据,13豫光铅MTN001,河南豫光金铅集团有限责任公司
031490453.IB,有色金属,0,湖南湘投金天科技集团有限责任公司2014年度第一期非公开定向债务融资工具,14金天科技PPN001,湖南湘投金天科技集团有限责任公司
031491029.IB,采掘,煤炭开采,淮北矿业(集团)有限责任公司2014年度第一期非公开定向债务融资工具,14淮北矿PPN001,淮北矿业(集团)有限责任公司
1282013.IB,采掘,采掘服务,江苏华东有色投资控股有限公司2012年度第一期中期票据,12苏有色MTN1,江苏华东有色投资控股有限公司
031671004.IB,建筑装饰,房屋建设,江苏省建筑工程集团有限公司2016年度第一期非公开定向债务融资工具,16苏建工PPN001,江苏省建筑工程集团有限公司
1180160.IB,0,0,2011年江苏中能硅业科技发展有限公司公司债券,11苏中能债,江苏中能硅业科技发展有限公司
031563019.IB,采掘,煤炭开采,江西省能源集团公司2015年度第一期非公开定向债务融资工具,15赣能源PPN001,江西省能源集团公司
101553009.IB,有色金属,0,金川集团股份有限公司2015年度第一期中期票据,15金川MTN001,金川集团股份有限公司
124182.SH,机械设备,金属制品,2013年精工控股集团有限公司公司债券,13精控债,精工控股集团有限公司
101356012.IB,钢铁,钢铁Ⅱ,酒泉钢铁(集团)有限责任公司2013年度第一期中期票据,13酒钢MTN001,酒泉钢铁(集团)有限责任公司
1182268.IB,采掘,煤炭开采,临沂矿业集团有限责任公司2011年度第二期中期票据,11临矿MTN2,临沂矿业集团有限责任公司
031568020.IB,采掘,其他采掘,内蒙古矿业(集团)有限责任公司2015年度第一期非公开定向债务融资工具,15蒙矿PPN001,内蒙古矿业(集团)有限责任公司
101351024.IB,钢铁,钢铁Ⅱ,攀钢集团有限公司2013年度第一期中期票据,13攀钢MTN001,攀钢集团有限公司
101566002.IB,化工,化学制品,青岛海湾集团有限公司2015年度第一期中期票据,15青岛海湾MTN001,青岛海湾集团有限公司
078031.IB,机械设备,专用设备,2007年三一重工股份有限公司公司债券,07三一重工债,三一重工股份有限公司
1282026.IB,汽车,汽车整车,厦门海翼集团有限公司2012年度第一期中期票据,12海翼MTN1,厦门海翼集团有限公司
123019.SH,轻工制造,造纸,2014年山东世纪阳光纸业集团有限公司公司债券,14阳纸业,山东世纪阳光纸业集团有限公司
031560027.IB,采掘,煤炭开采,山煤国际能源集团股份有限公司2015年度第一期非公开定向债务融资工具,15山煤国际PPN001,山煤国际能源集团股份有限公司
127325.SH,采掘,煤炭开采,2015年山西凯嘉能源集团有限公司公司债券,15凯嘉债,山西凯嘉能源集团有限公司
101551004.IB,采掘,煤炭开采,山西乡宁焦煤集团有限责任公司2015年度第一期中期票据,15乡宁焦煤MTN001,山西乡宁焦煤集团有限责任公司
127102.SH,采掘,煤炭开采,2015年山西襄矿集团有限公司公司债券,15襄矿债,山西襄矿集团有限公司
135547.SH,房地产,房地产开发,上海新黄浦置业股份有限公司2016年非公开发行公司债券(第一期),16黄浦01,上海新黄浦置业股份有限公司
031490790.IB,采掘,煤炭开采,沈阳煤业(集团)有限责任公司2014年度第一期非公开定向债务融资工具,14沈煤PPN001,沈阳煤业(集团)有限责任公司
122237.SH,有色金属,工业金属,四川西部资源控股股份有限公司2012年公司债券,12西资源,四川西部资源控股股份有限公司
041552038.IB,家用电器,白色家电,四川长虹电子控股集团有限公司2015年度第一期短期融资券,15长虹CP001,四川长虹电子控股集团有限公司
031685001.IB,建筑装饰,基础建设,腾达建设集团股份有限公司2016年度第一期非公开定向债务融资工具,16腾达建设PPN001,腾达建设集团股份有限公司
011698032.IB,非银金融,多元金融,武汉当代科技产业集团股份有限公司2016年度第一期超短期融资券,16汉当科SCP001,武汉当代科技产业集团股份有限公司
122077.SH,钢铁,钢铁Ⅱ,西宁特殊钢股份有限公司2011年公司债券,11西钢债,西宁特殊钢股份有限公司
101463003.IB,钢铁,钢铁Ⅱ,西宁特殊钢集团有限责任公司2014年度第一期中期票据,14西宁特钢MTN001,西宁特殊钢集团有限责任公司
031560041.IB,机械设备,专用设备,湘电集团有限公司2015年度第一期非公开定向债务融资工具,15湘电PPN001,湘电集团有限公司
011699425.IB,综合,综合Ⅱ,新疆投资发展(集团)有限责任公司2016年度第一期超短期融资券,16新投SCP001,新疆投资发展(集团)有限责任公司
136217.SH,有色金属,金属非金属新材料,新疆有色金属工业(集团)有限责任公司2016年公司债券(第一期),16新有色,新疆有色金属工业(集团)有限责任公司
011699891.IB,机械设备,运输设备,新誉集团有限公司2016年度第一期超短期融资券,16新誉SCP001,新誉集团有限公司
031390245.IB,采掘,煤炭开采,永城煤电控股集团有限公司2013年度第一期非公开定向债务融资工具,13永煤PPN001,永城煤电控股集团有限公司
031564176.IB,建筑装饰,装修装饰,浙江广天日月集团股份有限公司2015年度第一期非公开定向债务融资工具,15广天日月PPN001,浙江广天日月集团股份有限公司
031561058.IB,商业贸易,一般零售,浙江省商业集团有限公司2015年度第一期非公开定向债务融资工具,15浙商集PPN001,浙江省商业集团有限公司
031490317.IB,建筑装饰,基础建设,中国城市建设控股集团有限公司2014年度第二期非公开定向债务融资工具,14中城建PPN002,中国城市建设控股集团有限公司
101553021.IB,机械设备,专用设备,中国第一重型机械股份公司2015年度第一期中期票据,15中国一重MTN001,中国第一重型机械股份公司
123004.SH,综合,综合Ⅱ,2010年中国高科集团股份有限公司公司债券,10中科债,中国高科集团股份有限公司
031390405.IB,商业贸易,专业零售,中国铁路物资股份有限公司2013年度第一期非公开定向债务融资工具,13铁物资PPN001,中国铁路物资股份有限公司
041569035.IB,综合,综合Ⅱ,中国新兴(集团)总公司2015年度第二期短期融资券,15新兴CP002,中国新兴(集团)总公司
078057.IB,钢铁,钢铁Ⅱ,2007年安阳钢铁股份有限公司公司债券,07安钢债,安阳钢铁股份有限公司
041554061.IB,钢铁,钢铁Ⅱ,宝钢集团广东韶关钢铁有限公司2015年度第一期短期融资券,15宝钢韶关CP001,宝钢集团广东韶关钢铁有限公司
011698403.IB,采掘,煤炭开采,大同煤矿集团有限责任公司2016年度第二期超短期融资券,16同煤SCP002,大同煤矿集团有限责任公司
011699198.IB,机械设备,金属制品,江苏法尔胜泓昇集团有限公司2016年度第一期超短期融资券,16法尔胜SCP001,法尔胜泓昇集团有限公司
031573007.IB,采掘,其他采掘,贵州开磷集团股份有限公司2015年度第一期非公开定向债务融资工具,15贵开磷PPN001,贵州开磷集团股份有限公司
101459001.IB,休闲服务,酒店,贵州旅游投资控股(集团)有限责任公司2014年度第一期中期票据,14贵旅投MTN001,贵州旅游投资控股(集团)有限责任公司
031559031.IB,钢铁,钢铁Ⅱ,湖南华菱钢铁集团有限责任公司2015年度第一期非公开定向债务融资工具,15华菱钢铁PPN001,湖南华菱钢铁集团有限责任公司
041555037.IB,采掘,煤炭开采,华电煤业集团有限公司2015年度第一期短期融资券,15华电煤业CP001,华电煤业集团有限公司
011699012.IB,建筑材料,水泥制造,吉林亚泰(集团)股份有限公司2016年度第一期超短期融资券,16亚泰SCP001,吉林亚泰(集团)股份有限公司
031560105.IB,建筑材料,水泥制造,冀东发展集团有限责任公司2015年度第一期非公开定向债务融资工具,15冀东PPN001,冀东发展集团有限责任公司
031571024.IB,化工,化学制品,江苏苏化集团有限公司2015年度第一期非公开定向债务融资工具,15苏化PPN001,江苏苏化集团有限公司
1080067.IB,采掘,煤炭开采,2010年焦作煤业(集团)有限责任公司公司债券,10焦煤债,焦作煤业(集团)有限责任公司
011699145.IB,采掘,煤炭开采,开滦(集团)有限责任公司2016年度第一期超短期融资券,16开滦SCP001,开滦(集团)有限责任公司
031555012.IB,综合,综合Ⅱ,南通产业控股集团有限公司2015年度第一期非公开定向债务融资工具,15南产控PPN001,南通产业控股集团有限公司
031564140.IB,机械设备,专用设备,内蒙古北方重工业集团有限公司2015年度第一期非公开定向债务融资工具,15蒙北重工PPN001,内蒙古北方重工业集团有限公司
011698039.IB,汽车,汽车整车,奇瑞汽车股份有限公司2016年度第四期超短期融资券,16奇瑞SCP004,奇瑞汽车股份有限公司
031490467.IB,交通运输,机场,三亚凤凰国际机场有限责任公司2014年度第一期非公开定向债务融资工具,14凤凰PPN001,三亚凤凰国际机场有限责任公司
112119.SZ,有色金属,黄金,山东恒邦冶炼股份有限公司2012年公司债券,12恒邦债,山东恒邦冶炼股份有限公司
101464003.IB,化工,化学制品,山东金茂纺织化工集团有限公司2014年度第一期中期票据,14鲁金茂MTN001,山东金茂纺织化工集团有限公司
031490331.IB,化工,化学制品,阳泉煤业集团阳煤化工投资有限责任公司2014年度第一期非公开定向债务融资工具,14阳煤化工PPN001,山西阳煤化工投资有限责任公司
1282006.IB,汽车,汽车整车,陕西汽车集团有限责任公司2012年度第一期中期票据,12陕汽MTN1,陕西汽车集团有限责任公司
011699014.IB,轻工制造,包装印刷,上海紫江企业集团股份有限公司2016年度第一期超短期融资券,16紫江SCP001,上海紫江企业集团股份有限公司
1282408.IB,采掘,煤炭开采,沈阳焦煤有限责任公司2012年度第一期中期票据,12沈焦煤MTN1,沈阳焦煤股份有限公司
031490820.IB,钢铁,钢铁Ⅱ,天津钢管集团股份有限公司2014年度第一期非公开定向债务融资工具,14津钢管PPN001,天津钢管集团股份有限公司
031490267.IB,采掘,煤炭开采,永泰能源股份有限公司2014年度第一期非公开定向债务融资工具,14永泰能源PPN001,永泰能源股份有限公司
011699469.IB,0,0,浙江日月首饰集团有限公司2016年度第一期超短期融资券,16日月首饰SCP001,浙江日月首饰集团有限公司
011699241.IB,化工,化学原料,重庆化医控股(集团)公司2016年度第一期超短期融资券,16渝化医SCP001,重庆化医控股(集团)公司
031586001.IB,采掘,煤炭开采,安徽省皖北煤电集团有限责任公司2015年度第一期非公开定向债务融资工具,15皖北煤电PPN001,安徽省皖北煤电集团有限责任公司
112266.SZ,建筑材料,其他建材,北京利尔高温材料股份有限公司公开发行2015年公司债券(第一期),15利尔01,北京利尔高温材料股份有限公司
101465005.IB,综合,综合Ⅱ,黑龙江中盟集团有限公司2014年度第一期中期票据,14中盟MTN001,黑龙江中盟集团有限公司
1182316.IB,采掘,煤炭开采,吉林省煤业集团有限公司2011年度第一期中期票据,11吉煤MTN1,吉林省煤业集团有限公司
122075.SH,钢铁,钢铁Ⅱ,2011年柳州钢铁股份有限公司公司债券,11柳钢债,柳州钢铁股份有限公司
122156.SH,机械设备,专用设备,厦门厦工机械股份有限公司2012年公司债券,12厦工债,厦门厦工机械股份有限公司
1282301.IB,机械设备,专用设备,山推工程机械股份有限公司2012年度第一期中期票据,12山推MTN1,山推工程机械股份有限公司
101564031.IB,建筑材料,玻璃制造,蚌埠玻璃工业设计研究院2015年度第一期中期票据,15蚌埠玻璃MTN001,蚌埠玻璃工业设计研究院
122083.SH,电气设备,高低压设备,2011年保定天威保变电气股份有限公司公司债券,11天威债,保定天威保变电气股份有限公司
041659016.IB,电气设备,0,北京京城机电控股有限责任公司2016年度第一期短期融资券,16京城机电CP001,北京京城机电控股有限责任公司
122081.SH,食品饮料,食品加工,广东肇庆星湖生物科技股份有限公司2011年公司债券,PR星债停,广东肇庆星湖生物科技股份有限公司
101465006.IB,家用电器,白色家电,广东志高空调有限公司2014年度第一期中期票据,14志高MTN001,广东志高空调有限公司
112116.SZ,建筑装饰,专业工程,江苏中泰桥梁钢构股份有限公司2012年公司债券,12中桥债,江苏中泰桥梁钢构股份有限公司
101460019.IB,有色金属,0,江西稀有金属钨业控股集团有限公司2014年度第一期中期票据,14赣钨业MTN001,江西稀有金属钨业控股集团有限公司
031491124.IB,房地产,房地产开发,绿地控股集团有限公司2014年度第一期非公开定向债务融资工具,14绿地PPN001,绿地控股集团有限公司
031558016.IB,采掘,煤炭开采,平顶山天安煤业股份有限公司2015年度第一期非公开定向债务融资工具,15天安煤业PPN001,平顶山天安煤业股份有限公司
122200.SH,采掘,煤炭开采,山西兰花科技创业股份有限公司2012年公司债券,12晋兰花,山西兰花科技创业股份有限公司
031259003.IB,商业贸易,专业零售,山西煤炭运销集团有限公司2012年度第三期非公开定向债务融资工具,12晋煤运PPN003,山西煤炭运销集团有限公司
112075.SZ,建筑材料,其他建材,雅致集成房屋股份有限公司2012年公司债券(5年期),12雅致01,深圳市新南山控股(集团)股份有限公司
041670004.IB,交通运输,物流,深圳市怡亚通供应链股份有限公司2016年度第一期短期融资券,16怡亚通CP001,深圳市怡亚通供应链股份有限公司
122258.SH,采掘,煤炭开采,云南煤业能源股份有限公司2013年公司债券,13云煤业,云南煤业能源股份有限公司
031669002.IB,化工,化学制品,中国昊华化工集团股份有限公司2016年度第一期非公开定向债务融资工具,16昊华化工PPN001,中国昊华化工集团股份有限公司
011699157.IB,农林牧渔,畜禽养殖,福建圣农发展股份有限公司2016年度第一期超短期融资券,16圣农SCP001,福建圣农发展股份有限公司
101362001.IB,采掘,煤炭开采,阜新矿业(集团)有限责任公司2013年度第一期中期票据,13阜新矿MTN001,阜新矿业(集团)有限责任公司
1382274.IB,综合,综合Ⅱ,河南省国有资产控股运营有限公司2013年度第一期中期票据,13豫国控MTN1,河南省国有资产控股运营集团有限公司
101552019.IB,采掘,煤炭开采,潞安新疆煤化工(集团)有限公司2015年度第一期中期票据,15潞煤化MTN001,潞安新疆煤化工(集团)有限公司
112193.SZ,纺织服装,服装家纺,上海美特斯邦威服饰股份有限公司2013年公司债券(第一期),13美邦01,上海美特斯邦威服饰股份有限公司
078023.IB,轻工制造,造纸,2007年湖南泰格林纸集团有限责任公司企业债券,07湘泰格债,泰格林纸集团股份有限公司
101475005.IB,采掘,煤炭开采,阳城县阳泰集团实业有限公司2014年度第一期中期票据,14阳泰实业MTN001,阳城县阳泰集团实业有限公司
101551065.IB,化工,橡胶,贵州轮胎股份有限公司2015年度第一期中期票据,15黔轮胎MTN001,贵州轮胎股份有限公司
112136.SZ,电子,光学光电子,东莞勤上光电股份有限公司2012年公司债券(第一期),12勤上01,东莞勤上光电股份有限公司
112160.SZ,家用电器,视听器材,广州毅昌科技股份有限公司2012年公司债券(第一期),12毅昌01,广州毅昌科技股份有限公司
1282300.IB,纺织服装,纺织制造,江苏阳光集团有限公司2012年度第二期中期票据,12阳光MTN2,江苏阳光集团有限公司
112155.SZ,农林牧渔,饲料,江西正邦科技股份有限公司2012年公司债券,12正邦债,江西正邦科技股份有限公司
041651007.IB,汽车,汽车服务,庞大汽贸集团股份有限公司2016年度第一期短期融资券,16庞大汽贸CP001,庞大汽贸集团股份有限公司
112350.SZ,机械设备,专用设备,软控股份有限公司2016年面向合格投资者公开发行公司债券(第一期),16软控01,软控股份有限公司
112202.SZ,纺织服装,服装家纺,上海嘉麟杰纺织品股份有限公司2014年公司债券,14嘉杰债,上海嘉麟杰纺织品股份有限公司
011699632.IB,电气设备,电源设备,中利科技集团股份有限公司2016年度第一期超短期融资券,16中利科技SCP001,中利科技集团股份有限公司
123035.SH,采掘,石油开采,洲际油气股份有限公司公开发行2016年公司债券(第一期),16洲际01,洲际油气股份有限公司
112110.SZ,有色金属,稀有金属,广东东方锆业科技股份有限公司2012年公司债券,12东锆债,广东东方锆业科技股份有限公司
112204.SZ,食品饮料,食品加工,好想你枣业股份有限公司2014年度公司债券,14好想债,好想你枣业股份有限公司
112133.SZ,汽车,汽车服务,芜湖亚夏汽车股份有限公司2012年公司债券,12亚夏债,亚夏汽车股份有限公司
031595007.IB,机械设备,通用机械,杭州前进齿轮箱集团股份有限公司2015年度第一期非公开定向债务融资工具,15前进齿轮PPN001,杭州前进齿轮箱集团股份有限公司
122142.SH,纺织服装,纺织制造,江苏鹿港科技股份有限公司2011年公司债券,11鹿港债,江苏鹿港文化股份有限公司
