债券ID,申万一级行业,申万二级行业,债券全称,债券简称,发行主体
041564094.IB,非银金融,多元金融,新疆凯迪投资有限责任公司2015年度第一期短期融资券,15新疆凯迪CP001,新疆凯迪投资有限责任公司
041569030.IB,房地产,房地产开发,北京首都开发控股(集团)有限公司2015年度第一期短期融资券,15首开CP001,北京首都开发控股(集团)有限公司
041651016.IB,非银金融,多元金融,大唐融资租赁有限公司2016年度第二期短期融资券,16大唐租赁CP002,大唐融资租赁有限公司
041651026.IB,农林牧渔,畜禽养殖,四川铁骑力士实业有限公司2016年度第一期短期融资券,16铁骑力士CP001,四川铁骑力士实业有限公司
041651027.IB,综合,综合Ⅱ,大连国有资源投资集团有限公司2016年度第一期短期融资券,16大国资CP001,大连国有资源投资集团有限公司
041651033.IB,交通运输,航运,广东省航运集团有限公司2016年度第一期短期融资券,16粤航运CP001,广东省航运集团有限公司
041653009.IB,电子,其他电子Ⅱ,杭州正才控股集团有限公司2016年度第一期短期融资券,16正才CP001,杭州正才控股集团有限公司
041653050.IB,房地产,园区开发,上海外高桥集团股份有限公司2016年度第一期短期融资券,16外高桥CP001,上海外高桥集团股份有限公司
041654034.IB,公用事业,电力,国电华北电力有限公司2016年度第二期短期融资券,16华北电力CP002,国电华北电力有限公司
041655012.IB,综合,综合Ⅱ,河北建设投资集团有限责任公司2016年度第一期短期融资券,16冀建投CP001,河北建设投资集团有限责任公司
041655017.IB,商业贸易,一般零售,上海徐家汇商城(集团)有限公司2016年度第一期短期融资券,16徐家汇CP001,上海徐家汇商城(集团)有限公司
041656004.IB,建筑装饰,基础建设,城发投资集团有限公司2016年度第一期短期融资券,16城发投资CP001,城发投资集团有限公司
041659003.IB,综合,综合Ⅱ,义乌市国有资本运营中心2016年度第一期短期融资券,16义乌国资CP001,义乌市国有资本运营有限公司
041659017.IB,商业贸易,专业零售,烨辉(中国)科技材料有限公司2016年度第一期短期融资券,16烨辉科技CP001,烨辉(中国)科技材料有限公司
041659035.IB,交通运输,物流,武汉商贸国有控股集团有限公司2016年度第一期短期融资券,16武汉商贸CP001,武汉商贸国有控股集团有限公司
041659042.IB,国防军工,航天装备,中航高科技发展有限公司2016年度第一期短期融资券,16中航高科CP001,中航高科技发展有限公司
041660054.IB,综合,综合Ⅱ,合肥市工业投资控股有限公司2016年度第一期短期融资券,16合工投CP001,合肥市工业投资控股有限公司
041662032.IB,医药生物,一般零售,威高集团有限公司2016年度第一期短期融资券,16威高CP001,威高集团有限公司
041662036.IB,交通运输,铁路运输,重庆市轨道交通(集团)有限公司2016年度第一期短期融资券,16重庆轨交CP001,重庆市轨道交通(集团)有限公司
041662038.IB,房地产,房地产开发,中国金茂(集团)有限公司2016年度第一期短期融资券,16金茂CP001,中国金茂(集团)有限公司
041664005.IB,建筑装饰,基础建设,浙江中成控股集团有限公司2016年度第二期短期融资券,16中成CP002,浙江中成控股集团有限公司
041664039.IB,公用事业,电力,甘肃省电力投资集团有限责任公司2016年度第一期短期融资券,16甘电投CP001,甘肃省电力投资集团有限责任公司
058009.IB,建筑装饰,基础建设,2005年广东省交通集团有限公司公司债券,05粤交通债,广东省交通集团有限公司
0980157.IB,交通运输,0,2009年重庆高速公路集团有限公司公司债券,09渝高速债,重庆高速公路集团有限公司
101353009.IB,交通运输,铁路运输,上海申通地铁集团有限公司2013年度第二期中期票据,13申通集MTN002,上海申通地铁集团有限公司
101361004.IB,传媒,文化传媒,河北出版传媒集团有限责任公司2013年度第一期中期票据,13冀出版MTN001,河北出版传媒集团有限责任公司
101369003.IB,0,0,中国中材集团有限公司2013年度第一期中期票据,13中材集MTN001,中国中材集团有限公司
101375001.IB,综合,综合Ⅱ,长江经济联合发展(集团)股份有限公司2013年度第一期中期票据,13长经联MTN001,长江经济联合发展(集团)股份有限公司
101451010.IB,交通运输,高速公路,温州市交通运输集团有限公司2014年度第一期中期票据,14瓯交运MTN001,温州市交通运输集团有限公司
101451054.IB,交通运输,0,重庆高速公路股份有限公司2014年度第一期中期票据,14渝高股MTN001,重庆高速公路股份有限公司
101451058.IB,公用事业,电力,贵州盘江投资控股(集团)有限公司2014年度第一期中期票据,14盘投MTN001,贵州盘江投资控股(集团)有限公司
101453004.IB,采掘,煤炭开采,徐州矿务集团有限公司2014年度第一期中期票据,14徐矿MTN001,徐州矿务集团有限公司
101453011.IB,交通运输,0,广东省路桥建设发展有限公司2014年度第一期中期票据,14粤路桥MTN001,广东省路桥建设发展有限公司
101453014.IB,轻工制造,造纸,玖龙纸业(天津)有限公司2014年度第一期中期票据,14津玖龙MTN001,玖龙纸业(天津)有限公司
101453016.IB,化工,化学制品,河北威远生物化工股份有限公司2014年度第一期中期票据,14威远化工MTN001,新奥生态控股股份有限公司
101453021.IB,综合,综合Ⅱ,广州市城市建设投资集团有限公司2014年度第一期中期票据,14粤城建MTN001,广州市城市建设投资集团有限公司
101453032.IB,非银金融,多元金融,恒信金融租赁有限公司2014年度第一期中期票据,14恒信MTN001,海通恒信国际租赁有限公司
101454037.IB,建筑材料,水泥制造,四川双马水泥股份有限公司2014年度第一期中期票据,14双马水泥MTN001,四川双马水泥股份有限公司
101455017.IB,综合,综合Ⅱ,广西北部湾投资集团有限公司2014年度第一期中期票据,14北部湾投MTN001,广西北部湾投资集团有限公司
101455021.IB,交通运输,港口,青岛前湾集装箱码头有限责任公司2014年度第一期中期票据,14前湾集MTN001,青岛前湾集装箱码头有限责任公司
101455024.IB,商业贸易,贸易,中国通用技术(集团)控股有限责任公司2014年度第一期中期票据,14通用MTN001,中国通用技术(集团)控股有限责任公司
101456005.IB,交通运输,0,广东省铁路建设投资集团有限公司2014年度第一期中期票据,14粤铁建MTN001,广东省铁路建设投资集团有限公司
101456042.IB,建筑装饰,基础建设,广州市建筑集团有限公司2014年度第一期中期票据,14粤建筑MTN001,广州市建筑集团有限公司
101456048.IB,传媒,文化传媒,安徽广电传媒产业集团有限责任公司2014年度第一期中期票据,14皖广电MTN001,安徽广电传媒产业集团有限责任公司
101456053.IB,建筑装饰,基础建设,重庆城市交通开发投资(集团)有限公司2014年度第一期中期票据,14渝交投MTN001,重庆城市交通开发投资(集团)有限公司
101456084.IB,交通运输,0,福建省高速公路有限责任公司2014年度第一期中期票据,14闽高速MTN001,福建省高速公路有限责任公司
101458012.IB,机械设备,专用设备,福建龙净环保股份有限公司2014年度第一期中期票据,14龙净环保MTN001,福建龙净环保股份有限公司
101458027.IB,交通运输,航空运输,南京禄口国际机场有限公司2014年度第一期中期票据,14宁机场MTN001,南京禄口国际机场有限公司
101459022.IB,传媒,文化传媒,山东广电网络有限公司2014年度第一期中期票据,14鲁广电MTN001,山东广电网络有限公司
101460011.IB,家用电器,白色家电,合肥市国有资产控股有限公司2014年度第一期中期票据,14合国资MTN001,合肥市国有资产控股有限公司
101460037.IB,有色金属,稀有金属,宝鸡钛业股份有限公司2014年度第一期中期票据,14宝鸡钛业MTN001,宝鸡钛业股份有限公司
101462016.IB,建筑装饰,基础建设,四川华西集团有限公司2014年度第一期中期票据,14川华西MTN001,四川华西集团有限公司
101463015.IB,建筑装饰,基础建设,广东省建筑工程集团有限公司2014年度第一期中期票据,14粤建工MTN001,广东省建筑工程集团有限公司
101464026.IB,综合,综合Ⅱ,广州电气装备集团有限公司2014年度第一期中期票据,14广州电气MTN001,广州电气装备集团有限公司
101480001.IB,综合,综合Ⅱ,怀化市水业投资总公司2014年度第一期中期票据,14怀化水业MTN001,怀化市水业投资总公司
101551071.IB,钢铁,钢铁Ⅱ,山西太钢不锈钢股份有限公司2015年度第一期中期票据,15太不锈MTN001,山西太钢不锈钢股份有限公司
101553017.IB,商业贸易,一般零售,衣念(上海)时装贸易有限公司2015年度第一期中期票据,15衣念MTN001,衣念(上海)时装贸易有限公司
101553019.IB,采掘,其他采掘,重庆钢铁集团矿业有限公司2015年度第一期中期票据,15重钢矿业MTN001,重庆钢铁集团矿业有限公司
101553044.IB,机械设备,通用机械,北方凌云工业集团有限公司2015年度第一期中期票据,15北方凌云MTN001,北方凌云工业集团有限公司
101554069.IB,休闲服务,景点,重庆市武隆喀斯特旅游(集团)有限公司2015年度第一期中期票据,15喀斯特旅MTN001,重庆市武隆喀斯特旅游(集团)有限公司
101559015.IB,公用事业,电力,郑州市热力总公司2015年度第一期中期票据,15郑州热力MTN001,郑州市热力总公司
101560012.IB,综合,综合Ⅱ,厦门轻工集团有限公司2015年度第一期中期票据,15厦门轻工MTN001,厦门轻工集团有限公司
101560029.IB,综合,综合Ⅱ,天津华勘集团有限公司2015年度第一期中期票据,15津华勘MTN001,天津华勘集团有限公司
101561029.IB,公用事业,电力,重庆乌江电力有限公司2015年度第一期中期票据,15乌江电力MTN001,重庆乌江电力有限公司
101562045.IB,商业贸易,一般零售,长沙通程实业(集团)有限公司2015年度第一期中期票据,15长沙通程MTN001,长沙通程实业(集团)有限公司
101564024.IB,休闲服务,景点,陕西华山旅游集团有限公司2015年度第一期中期票据,15陕华旅MTN001,陕西华山旅游集团有限公司
101570004.IB,房地产,房地产开发,华鑫置业(集团)有限公司2015年度第一期中期票据,15华鑫MTN001,华鑫置业(集团)有限公司
101570009.IB,0,0,仲利国际租赁有限公司2015年度第一期中期票据,15仲利MTN001,仲利国际租赁有限公司
101576007.IB,交通运输,高速公路,桂林市交通投资控股集团有限公司2015年度第一期中期票据,15桂林交投MTN001,桂林市交通投资控股集团有限公司
101652004.IB,建筑装饰,基础建设,中国水利水电第四工程局有限公司2016年度第一期中期票据,16水电四局MTN001,中国水利水电第四工程局有限公司
101652019.IB,房地产,房地产开发,厦门思明国有控股集团有限公司2016年度第一期中期票据,16思明国控MTN001,厦门思明国有控股集团有限公司
101654053.IB,建筑装饰,基础建设,湖南省建筑工程集团总公司2016年度第一期中期票据,16湖南建工MTN001,湖南省建筑工程集团总公司
101655007.IB,建筑装饰,基础建设,中国水利水电第十三工程局有限公司2016年度第一期中期票据,16水电十三MTN001,中国水利水电第十三工程局有限公司
101659018.IB,建筑装饰,装修装饰,苏州金螳螂企业(集团)有限公司2016年度第一期中期票据,16金螳螂MTN001,苏州金螳螂企业(集团)有限公司
101659033.IB,非银金融,多元金融,上海国有资产经营有限公司2016年度第一期中期票据,16沪国资MTN001,上海国有资产经营有限公司
101660012.IB,房地产,房地产开发,建发房地产集团有限公司2016年度第一期中期票据,16建发地产MTN001,建发房地产集团有限公司
101661005.IB,农林牧渔,农业综合,安徽省农垦集团有限公司2016年度第一期中期票据,16皖农垦MTN001,安徽省农垦集团有限公司
101662009.IB,非银金融,多元金融,河南省农业综合开发公司2016年度第一期中期票据,16河南农开MTN001,河南省农业综合开发公司
101663005.IB,化工,橡胶,云南农垦集团有限责任公司2016年度第一期中期票据,16云南农垦MTN001,云南农垦集团有限责任公司
101664003.IB,建筑装饰,基础建设,中电建路桥集团有限公司2016年度第一期中期票据,16中电路桥MTN001,中电建路桥集团有限公司
101664011.IB,休闲服务,景点,福州文化旅游投资集团有限公司2016年度第一期中期票据,16福州文旅MTN001,福州文化旅游投资集团有限公司
101672003.IB,房地产,房地产开发,中国电建地产集团有限公司2016年度第一期中期票据,16电建地产MTN001,中国电建地产集团有限公司
1080076.IB,交通运输,0,2010年广东省公路建设有限公司公司债券,10粤路建债,广东省公路建设有限公司
112058.SZ,农林牧渔,农产品加工,中粮生物化学(安徽)股份有限公司2011年公司债券(第一期),11中粮01,中粮生物化学(安徽)股份有限公司
112170.SZ,建筑材料,其他建材,濮阳濮耐高温材料(集团)股份有限公司2012年公司债券(第一期),12濮耐01,濮阳濮耐高温材料(集团)股份有限公司
112205.SZ,医药生物,化学制药,深圳翰宇药业股份有限公司2014年非公开发行公司债券(第一期),14翰宇01,深圳翰宇药业股份有限公司
112297.SZ,非银金融,多元金融,广东省粤科金融集团有限公司2015年面向合格投资者公开发行公司债券,15粤科债,广东省粤科金融集团有限公司
112331.SZ,计算机,计算机应用,深圳市宝德投资控股有限公司2016年面向合格投资者公开发行公司债券(第一期),16宝德01,深圳市宝德投资控股有限公司
112363.SZ,房地产,房地产开发,三湘股份有限公司2016年面向合格投资者公开发行公司债券,16三湘债,三湘印象股份有限公司
112384.SZ,电子,0,潍坊歌尔集团有限公司2016年面向合格投资者公开发行公司债券(第一期),16歌尔01,歌尔集团有限公司
1180013.IB,通信,通信设备,2011年陕西电子信息集团有限公司公司债券,11陕电子债,陕西电子信息集团有限公司
118359.SZ,综合,综合Ⅱ,东旭集团有限公司2015年非公开发行公司债券(第一期),15东旭01,东旭集团有限公司
118382.SZ,房地产,房地产开发,平阳县利得海涂围垦开发有限公司2015年非公开发行公司债券,15利得债,平阳县利得海涂围垦开发有限公司
118440.SZ,非银金融,多元金融,铜陵发展投资集团有限公司2015年非公开发行公司债券(第一期),15铜发01,铜陵发展投资集团有限公司
118651.SZ,建筑装饰,房屋建设,五洋建设集团股份有限公司2016年非公开发行公司债券(第一期),16五洋01,五洋建设集团股份有限公司
122276.SH,纺织服装,纺织制造,魏桥纺织股份有限公司2013年公司债券(第一期),13魏桥01,魏桥纺织股份有限公司
122298.SH,农林牧渔,种植业,甘肃亚盛实业(集团)股份有限公司2013年公司债券,13亚盛债,甘肃亚盛实业(集团)股份有限公司
122382.SH,房地产,房地产开发,京投银泰股份有限公司2014年公司债券,14京银债,京投发展股份有限公司
122401.SH,房地产,房地产开发,远洋地产有限公司2015年公司债券(第一期)(品种三),15远洋03,远洋地产有限公司
